species	h1	h2	h3	aquatic	dd
Cophyla_phyllodactyla	0	1	2	0	0
Corythomantis_greeningi	0	0	2	1	0
Craugastor_augusti	2	2	3	0	1
Craugastor_daryi	2	2	3	0	1
Craugastor_longirostris	2	2	3	0	1
Craugastor_podiciferus	2	2	3	0	1
Craugastor_pygmaeus	2	2	3	0	1
Crinia_signifera	0	0	0	1	0
Crinia_tinnula	0	0	0	1	0
Crossodactylus_schmidti	0	0	1	1	0
Cruziohyla_calcarifer	1	0	2	0	0
Cryptothylax_greshoffii	1	0	1	0	0
Ctenophryne_geayi	0	0	0	1	0
Cycloramphus_acangatan	1	0	2	0	0
Cycloramphus_boraceiensis	1	0	2	0	0
Cyclorana_alboguttata	0	0	0	1	0
Cyclorana_australis	0	0	0	1	0
Cyclorana_brevipes	0	0	0	1	0
Cyclorana_longipes	0	0	0	1	0
Cyclorana_novaehollandiae	0	0	0	1	0
Dasypops_schirchi	0	0	0	1	0
Dendrobates_auratus	1	0	2	0	0
Dendrobates_castaneoticus	1	0	2	0	0
Dendrobates_histrionicus	1	0	2	0	0
Dendrobates_lehmanni	1	0	2	0	0
Dendrobates_leucomelas	1	0	2	0	0
Dendrobates_pumilio	1	0	2	0	0
Dendrobates_reticulatus	1	0	2	0	0
Dendrobates_steyermarki	1	0	2	0	0
Dendrobates_ventrimaculatus	1	0	2	1	0
Dendrophryniscus_minutus	1	0	1	0	0
Dendropsophus_anceps	0	0	0	1	0
Dendropsophus_berthalutzae	1	0	1	0	0
Dendropsophus_brevifrons	1	0	1	0	0
Dendropsophus_carnifex	0	0	0	1	0
Dendropsophus_ebraccatus	1	0	1	0	0
Dendropsophus_giesleri	1	0	1	0	0
Dendropsophus_koechlini	0	0	0	1	0
Dendropsophus_leali	0	0	0	1	0
Dendropsophus_leucophyllatus	1	0	1	0	0
Dendropsophus_marmoratus	0	0	0	1	0
Dendropsophus_parviceps	0	0	0	1	0
Dendropsophus_rhodopeplus	0	0	0	1	0
Dendropsophus_sarayacuensis	1	0	1	0	0
Dendropsophus_triangulum	1	0	1	0	0
Dermatonotus_muelleri	0	0	0	1	0
Diasporus_diastema	2	2	3	0	1
Didynamipus_sjostedti	2	2	3	0	1
Discodeles_guppyi	2	2	3	0	1
Discoglossus_galganoi	0	0	0	1	0
Discoglossus_pictus	0	0	0	1	0
Duellmanohyla_rufioculis	1	0	1	0	0
Duellmanohyla_soralia	1	0	1	0	0
Dyscophus_guineti	0	0	0	1	0
Ecnomiohyla_miliaria	1	0	2	1	0
Edalorhina_perezi	1	0	1	0	0
Elachistocleis_ovalis	0	0	0	1	0
Eleutherodactylus_abbotti	2	2	3	0	1
Eleutherodactylus_albipes	2	2	3	0	1
Eleutherodactylus_alcoae	2	2	3	0	1
Eleutherodactylus_alticola	2	2	3	0	1
Eleutherodactylus_atkinsi	2	2	3	0	1
Eleutherodactylus_auriculatus	2	2	3	0	1
Eleutherodactylus_caribe	2	2	3	0	1
Eleutherodactylus_cooki	2	2	3	0	1
Eleutherodactylus_coqui	2	2	3	0	1
Eleutherodactylus_cundalli	2	2	3	0	1
Eleutherodactylus_dimidiatus	2	2	3	0	1
Eleutherodactylus_fowleri	2	2	3	0	1
Eleutherodactylus_gossei	2	2	3	0	1
Eleutherodactylus_inoptatus	2	2	3	0	1
Eleutherodactylus_johnstonei	2	2	3	0	1
Eleutherodactylus_leberi	2	2	3	0	1
Eleutherodactylus_lentus	2	2	3	0	1
Eleutherodactylus_leoncei	2	2	3	0	1
Eleutherodactylus_marnockii	2	2	3	0	1
Eleutherodactylus_martinicensis	2	2	3	0	1
Eleutherodactylus_nubicola	2	2	3	0	1
Eleutherodactylus_planirostris	2	2	3	0	1
Eleutherodactylus_thorectes	2	2	3	0	1
Eleutherodactylus_unicolor	2	2	3	0	1
Eleutherodactylus_varleyi	2	2	3	0	1
Eleutherodactylus_zeus	2	2	3	0	1
Eleutherodactylus_zugi	2	2	3	0	1
Engystomops_petersi	1	0	1	0	0
Engystomops_pustulosus	1	0	1	0	0
Epipedobates_machalilla	1	0	2	0	0
Espadarana_prosoblepon	1	0	1	0	0
Euphlyctis_cyanophlyctis	0	0	0	1	0
Euphlyctis_ehrenbergii	0	0	0	1	0
Euphlyctis_hexadactylus	0	0	0	1	0
Eupsophus_calcaratus	0	1	2	1	0
Eupsophus_emiliopugini	0	1	2	1	0
Feihyla_palpebralis	2	2	3	0	1
Fejervarya_cancrivora	0	0	0	1	0
Fejervarya_rufescens	0	0	0	1	0
Fejervarya_vittigera	0	0	0	1	0
Flectonotus_fitzgeraldi	1	1	2	0	0
Flectonotus_pygmaeus	1	1	2	0	0
Gastrophryne_carolinensis	0	0	0	1	0
Gastrophryne_olivacea	0	0	0	1	0
Gastrotheca_cornuta	2	2	3	0	1
Gastrotheca_fissipes	2	2	3	0	1
Gastrotheca_galeata	2	2	3	0	1
Gastrotheca_marsupiata	1	0	2	0	0
Genyophryne_thomsoni	2	2	3	0	1
Geocrinia_victoriana	1	0	1	0	0
Gephyromantis_decaryi	2	2	3	0	1
Gephyromantis_luteus	2	2	3	0	1
Gephyromantis_pseudoasper	1	0	1	0	0
Gephyromantis_webbi	1	0	1	0	0
Guibemantis_depressiceps	1	0	1	0	0
Guibemantis_liber	1	0	1	0	0
Guibemantis_tornieri	1	0	1	0	0
Haddadus_binotatus	2	2	3	0	1
Hadromophryne_natalensis	0	0	0	1	0
Hamptophryne_boliviana	0	0	0	1	0
Heleophryne_purcelli	0	0	0	1	0
Heleophryne_regis	0	0	0	1	0
Hemiphractus_proboscideus	2	2	3	0	1
Hemiphractus_scutatus	2	2	3	0	1
Hemisus_marmoratus	1	0	1	0	0
Heterixalus_alboguttatus	1	0	1	0	0
Heterixalus_betsileo	1	0	1	0	0
Heterixalus_luteostriatus	1	0	1	0	0
Hildebrandtia_ornata	0	0	0	1	0
Holoaden_bradei	2	2	3	0	1
Hoplobatrachus_occipitalis	0	0	0	1	0
Hoplobatrachus_tigerinus	0	0	0	1	0
Hoplophryne_rogersi	1	0	2	0	0
Hoplophryne_uluguruensis	1	0	2	0	0
Huia_cavitympanum	0	0	0	1	0
Hyalinobatrachium_chirripoi	1	0	1	0	0
Hyalinobatrachium_colymbiphyllum	1	0	1	0	0
Hyalinobatrachium_fleischmanni	1	0	1	0	0
Hyalinobatrachium_talamancae	1	0	1	0	0
Hyalinobatrachium_valerioi	1	0	1	0	0
Hyla_andersonii	0	0	0	1	0
Hyla_arborea	0	0	0	1	0
Hyla_arenicolor	0	0	0	1	0
Hyla_avivoca	0	0	0	1	0
Hyla_chinensis	0	0	0	1	0
Hyla_chrysoscelis	0	0	0	1	0
Hyla_cinerea	0	0	0	1	0
Hyla_femoralis	0	0	0	1	0
Hyla_gratiosa	0	0	0	1	0
Hyla_japonica	0	0	0	1	0
Hyla_meridionalis	0	0	0	1	0
Hyla_squirella	0	0	0	1	0
Hyla_versicolor	0	0	0	1	0
Hylodes_dactylocinus	0	0	1	1	0
Hylomantis_lemur	1	0	1	0	0
Hylophorbus_rufescens	2	2	3	0	1
Hylorina_sylvatica	0	0	0	1	0
Hyloxalus_sauli	1	0	2	0	0
Hymenochirus_boettgeri	0	0	0	1	0
Hyperolius_acuticeps	0	0	0	0	0
Hyperolius_argus	0	0	0	1	0
Hyperolius_castaneus	1	0	1	0	0
Hyperolius_cinnamomeoventris	1	0	1	0	0
Hyperolius_concolor	1	0	1	0	0
Hyperolius_frontalis	1	0	1	0	0
Hyperolius_kivuensis	1	0	1	0	0
Hyperolius_lateralis	1	0	1	0	0
Hyperolius_nasutus	0	0	0	1	0
Hyperolius_puncticulatus	0	0	0	1	0
Hyperolius_pusillus	1	0	1	0	0
Hyperolius_semidiscus	0	0	0	1	0
Hyperolius_tuberilinguis	1	0	1	0	0
Hypopachus_variolosus	0	0	0	1	0
Hypsiboas_albomarginatus	0	0	0	1	0
Hypsiboas_albopunctatus	0	0	1	1	0
Hypsiboas_boans	0	0	1	1	0
Hypsiboas_cinerascens	0	0	0	1	0
Hypsiboas_fasciatus	0	0	0	1	0
Hypsiboas_geographicus	0	0	0	1	0
Hypsiboas_lanciformis	0	0	0	1	0
Hypsiboas_rosenbergi	0	0	1	1	0
Ikakogi_tayrona	1	0	1	0	0
Indirana_beddomii	1	0	2	0	0
Ingerana_baluensis	2	2	3	0	1
Ischnocnema_guentheri	2	2	3	0	1
Ischnocnema_parva	2	2	3	0	1
Isthmohyla_pseudopuma	0	0	0	1	0
Itapotihyla_langsdorffii	0	0	0	1	0
Kalophrynus_pleurostigma	0	1	2	1	0
Kaloula_pulchra	0	0	0	1	0
Kaloula_taprobanica	0	0	0	1	0
Kassina_maculata	0	0	0	1	0
Kassina_senegalensis	0	0	0	1	0
Kurixalus_eiffingeri	1	0	2	0	0
Kurixalus_idiootocus	1	0	1	0	0
Laliostoma_labrosum	0	0	0	1	0
Lechriodus_fletcheri	1	0	1	1	0
Leiopelma_archeyi	1	0	2	0	0
Leiopelma_hochstetteri	0	1	2	0	1
Leiopelma_pakeka	1	0	2	0	0
Lepidobatrachus_laevis	0	0	0	1	0
Leptobrachium_boringii	0	0	0	1	0
Leptodactylodon_bicolor	0	0	0	1	0
Leptodactylus_chaquensis	1	0	1	0	0
Leptodactylus_discodactylus	1	0	1	0	0
Leptodactylus_fallax	1	0	1	0	0
Leptodactylus_fuscus	1	0	1	0	0
Leptodactylus_labyrinthicus	1	0	1	0	0
Leptodactylus_melanonotus	1	0	1	0	0
Leptodactylus_mystaceus	1	0	1	0	0
Leptodactylus_mystacinus	1	0	1	1	0
Leptodactylus_pentadactylus	1	0	1	0	0
Leptodactylus_rhodomystax	1	0	1	0	0
Leptodactylus_wagneri	1	0	1	0	0
Leptopelis_argenteus	1	0	1	0	0
Leptopelis_natalensis	1	0	1	0	0
Leptophryne_borbonica	0	0	0	1	0
Limnodynastes_fletcheri	1	0	1	0	0
Limnodynastes_lignarius	1	0	1	0	0
Limnodynastes_peronii	1	0	1	0	0
Limnodynastes_salmini	1	0	1	0	0
Limnodynastes_tasmaniensis	1	0	1	0	0
Limnomedusa_macroglossa	0	0	0	1	0
Limnonectes_blythii	0	0	1	1	0
Limnonectes_finchi	1	0	2	0	0
Limnonectes_kuhlii	0	0	0	1	0
Limnonectes_leporinus	0	0	1	1	0
Limnonectes_leytensis	1	0	1	0	0
Limnonectes_magnus	1	0	1	0	0
Limnonectes_malesianus	0	0	1	1	0
Limnonectes_microdiscus	1	0	1	0	0
Liophryne_rhododactyla	2	2	3	0	1
Liophryne_schlaginhaufeni	2	2	3	0	1
Lithodytes_lineatus	1	0	1	0	0
Litoria_caerulea	0	0	0	1	0
Litoria_genimaculata	0	0	0	1	0
Litoria_havina	1	0	1	0	0
Litoria_inermis	0	0	0	1	0
Litoria_longirostris	1	0	1	0	0
Litoria_nasuta	0	0	0	1	0
Litoria_pallida	0	0	0	1	0
Litoria_pearsoniana	0	0	0	1	0
Litoria_rothii	0	0	0	1	0
Litoria_rubella	0	0	0	1	0
Litoria_spenceri	0	0	0	1	0
Litoria_subglandulosa	0	0	0	1	0
Litoria_tornieri	0	0	0	1	0
Litoria_watjulumensis	0	0	0	1	0
Liuixalus_romeri	0	0	0	1	0
Lynchius_flavomaculatus	2	2	3	0	1
Macrogenioglottus_alipioi	0	0	0	1	0
Mannophryne_trinitatis	1	0	2	0	0
Mantella_aurantiaca	1	0	1	0	0
Mantella_baroni	1	0	1	0	0
Mantella_laevigata	1	0	2	0	0
Mantidactylus_ulcerosus	1	0	1	0	0
Megaelosia_goeldii	0	0	0	1	0
Megophrys_nasuta	0	0	0	1	0
Meristogenys_jerboa	0	0	0	1	0
Mertensophryne_micranotis	0	0	2	1	0
Metacrinia_nichollsi	2	2	3	0	1
Metaphrynella_sundana	0	0	2	0	0
Microbatrachella_capensis	0	0	0	1	0
Microhyla_heymonsi	0	0	0	1	0
Microhyla_okinavensis	0	0	0	1	0
Microhyla_ornata	0	0	0	1	0
Micryletta_inornata	0	0	0	1	0
Myobatrachus_gouldii	2	2	3	0	1
Nannophrys_ceylonensis	1	0	2	0	0
Nanorana_parkeri	0	0	0	1	0
Nanorana_pleskei	0	0	0	1	0
Natalobatrachus_bonebergi	1	0	1	0	0
Nectophryne_afra	0	1	2	1	0
Nectophryne_batesii	0	1	2	1	0
Nectophrynoides_minutus	1	1	2	0	0
Nectophrynoides_tornieri	1	1	2	0	0
Nectophrynoides_viviparus	1	1	2	0	0
Nelsonophryne_aequatorialis	0	0	0	1	0
Neobatrachus_sudelli	0	0	0	1	0
Notaden_melanoscaphus	0	0	0	1	0
Nyctibates_corrugatus	0	0	0	1	0
Nyctimystes_dayi	0	0	0	1	0
Nyctimystes_kubori	0	0	0	1	0
Nyctixalus_pictus	1	0	2	0	0
Nyctixalus_spinosus	1	0	2	0	0
Occidozyga_laevis	0	0	0	1	0
Occidozyga_lima	0	0	0	1	0
Occidozyga_martensii	0	0	0	1	0
Odontophrynus_americanus	0	0	0	1	0
Odontophrynus_cultripes	0	0	0	1	0
Odorrana_chapaensis	0	0	0	1	0
Odorrana_jingdongensis	0	0	0	1	0
Odorrana_junlianensis	0	0	0	1	0
Odorrana_schmackeri	0	0	0	1	0
Odorrana_tormota	0	0	0	1	0
Ophryophryne_hansi	0	0	0	1	0
Opisthothylax_immaculatus	1	0	2	0	0
Oreobates_quixensis	2	2	3	0	1
Oreolalax_chuanbeiensis	0	0	0	1	0
Oreolalax_jingdongensis	0	0	0	1	0
Oreolalax_lichuanensis	0	0	0	1	0
Oreolalax_pingii	0	0	0	1	0
Oreophryne_clamata	2	2	3	0	1
Osornophryne_guacamayo	2	2	3	0	1
Osteocephalus_buckleyi	0	0	0	1	0
Osteocephalus_leprieurii	0	0	2	1	0
Osteocephalus_oophagus	0	0	2	1	0
Osteocephalus_taurinus	0	0	0	1	0
Osteopilus_septentrionalis	0	0	0	1	0
Otophryne_pyburni	1	0	1	0	0
Oxydactyla_crassa	2	2	3	0	1
Pachymedusa_dacnicolor	1	0	1	0	0
Paracrinia_haswelli	0	0	0	1	0
Paradoxophyla_palmata	0	0	0	1	0
Paratelmatobius_cardosoi	0	0	0	1	0
Paratelmatobius_poecilogaster	1	0	1	0	0
Pedostibes_hosii	0	0	0	1	0
Pedostibes_tuberculosus	0	0	0	1	0
Pelobates_cultripes	0	0	0	1	0
Pelodytes_punctatus	0	0	0	1	0
Pelophryne_brevipes	0	1	2	1	0
Pelophryne_misera	0	1	2	1	0
Petropedetes_cameronensis	1	0	2	0	0
Petropedetes_martiensseni	1	0	2	0	0
Petropedetes_parkeri	1	0	2	0	0
Phasmahyla_cochranae	1	0	1	0	0
Phasmahyla_guttata	1	0	1	0	0
Philautus_acutirostris	2	2	3	0	1
Philautus_surdus	2	2	3	0	1
Philoria_sphagnicolus	1	1	2	1	0
Phlyctimantis_leonardi	0	0	0	1	0
Phrynobatrachus_acridoides	0	0	0	1	0
Phrynobatrachus_calcaratus	0	0	0	1	0
Phrynobatrachus_dendrobates	1	1	2	0	0
Phrynobatrachus_mababiensis	0	0	0	1	0
Phrynobatrachus_natalensis	0	0	0	1	0
Phrynobatrachus_sandersoni	1	0	1	0	0
Phrynomantis_bifasciatus	0	0	0	1	0
Phrynomantis_microps	0	0	0	1	0
Phrynopus_bracki	2	2	3	0	1
Phyllobates_terribilis	1	0	2	0	0
Phyllobates_vittatus	1	0	2	0	0
Phyllodytes_luteolus	0	0	2	1	0
Phyllomedusa_atelopoides	1	0	1	0	0
Phyllomedusa_bicolor	1	0	1	0	0
Phyllomedusa_hypochondrialis	1	0	1	0	0
Phyllomedusa_palliata	1	0	1	0	0
Phyllomedusa_tarsius	1	0	1	0	0
Phyllomedusa_tomopterna	1	0	1	0	0
Phyllomedusa_vaillantii	1	0	1	0	0
Physalaemus_biligonigerus	1	0	1	0	0
Physalaemus_cuvieri	1	0	1	0	0
Physalaemus_ephippifer	1	0	1	0	0
Phyzelaphryne_miriamae	2	2	3	0	1
Pipa_pipa	2	2	3	0	1
Platymantis_dorsalis	2	2	3	0	1
Platymantis_papuensis	2	2	3	0	1
Platypelis_grandis	0	1	2	1	0
Platyplectrum_ornatum	1	0	1	0	0
Platyplectrum_spenceri	1	0	1	0	0
Plectrohyla_bistincta	0	0	0	1	0
Plethodontohyla_mihanika	0	1	2	1	0
Plethodontohyla_notosticta	0	1	2	1	0
Plethodontohyla_tuberata	1	1	2	1	0
Pleurodema_brachyops	1	0	1	0	0
Polypedates_cruciger	1	0	2	0	0
Polypedates_leucomystax	1	0	2	0	0
Polypedates_maculatus	1	0	2	0	0
Polypedates_megacephalus	1	0	2	0	0
Poyntonia_paludicola	0	0	0	1	0
Pristimantis_actites	2	2	3	0	1
Pristimantis_acuminatus	2	2	3	0	1
Pristimantis_altamazonicus	2	2	3	0	1
Pristimantis_condor	2	2	3	0	1
Pristimantis_conspicillatus	2	2	3	0	1
Pristimantis_cremnobates	2	2	3	0	1
Pristimantis_curtipes	2	2	3	0	1
Pristimantis_diadematus	2	2	3	0	1
Pristimantis_duellmani	2	2	3	0	1
Pristimantis_euphronides	2	2	3	0	1
Pristimantis_lanthanites	2	2	3	0	1
Pristimantis_leoni	2	2	3	0	1
Pristimantis_nyctophylax	2	2	3	0	1
Pristimantis_ockendeni	2	2	3	0	1
Pristimantis_peruvianus	2	2	3	0	1
Pristimantis_unistrigatus	2	2	3	0	1
Pristimantis_versicolor	2	2	3	0	1
Pristimantis_walkeri	2	2	3	0	1
Probreviceps_macrodactylus	2	2	3	0	1
Probreviceps_uluguruensis	2	2	3	0	1
Proceratophrys_boiei	0	0	0	1	0
Pseudacris_brachyphona	0	0	0	1	0
Pseudacris_crucifer	0	0	0	1	0
Pseudacris_nigrita	0	0	0	1	0
Pseudacris_ocularis	0	0	0	1	0
Pseudacris_regilla	0	0	0	1	0
Pseudacris_streckeri	0	0	0	1	0
Pseudis_laevis	1	0	1	0	0
Pseudis_limellum	1	0	1	0	0
Pseudis_minuta	1	0	1	0	0
Pseudis_paradoxa	1	0	1	0	0
Pseudoamolops_sauteri	0	0	0	1	0
Pseudopaludicola_falcipes	0	0	0	1	0
Pseudophryne_coriacea	1	0	1	0	0
Psychrophrynella_wettsteini	2	2	3	0	1
Ptychadena_anchietae	0	0	0	1	0
Ptychadena_bibroni	0	0	0	1	0
Ptychadena_porosissima	0	0	0	1	0
Ptychadena_tellinii	0	0	0	1	0
Ptychohyla_hypomykter	0	0	0	1	0
Pyxicephalus_adspersus	0	0	0	1	0
Pyxicephalus_edulis	0	0	0	1	0
Ramanella_obscura	0	0	2	1	0
Ramanella_variegata	0	0	0	1	0
Rana_adenopleura	1	0	1	1	0
Rana_amurensis	0	0	0	1	0
Rana_arvalis	0	0	0	1	0
Rana_asiatica	0	0	0	1	0
Rana_aurora	0	0	0	1	0
Rana_berlandieri	0	0	0	1	0
Rana_boylii	0	0	0	1	0
Rana_capito	0	0	0	1	0
Rana_cascadae	0	0	0	1	0
Rana_catesbeiana	0	0	0	1	0
Rana_chalconota	0	0	0	1	0
Rana_chensinensis	0	0	0	1	0
Rana_chiricahuensis	0	0	0	1	0
Rana_clamitans	0	0	0	1	0
Rana_curtipes	0	0	0	1	0
Rana_dalmatina	0	0	0	1	0
Rana_dybowskii	0	0	0	1	0
Rana_erythraea	0	0	0	1	0
Rana_forreri	0	0	0	1	0
Rana_graeca	0	0	0	1	0
Rana_grylio	0	0	0	1	0
Rana_guentheri	0	0	0	1	0
Rana_heckscheri	0	0	0	1	0
Rana_holsti	0	0	0	1	0
Rana_hosii	0	0	0	1	0
Rana_iberica	0	0	0	1	0
Rana_ishikawae	0	0	0	1	0
Rana_japonica	0	0	0	1	0
Rana_latouchii	0	0	0	1	0
Rana_lessonae	0	0	0	1	0
Rana_longicrus	0	0	0	1	0
Rana_luteiventris	0	0	0	1	0
Rana_luzonensis	0	0	0	1	0
Rana_macrocnemis	0	0	0	1	0
Rana_malabarica	0	0	0	1	0
Rana_minima	0	0	0	1	0
Rana_montezumae	0	0	0	1	0
Rana_muscosa	0	0	0	1	0
Rana_narina	0	0	0	1	0
Rana_nigromaculata	0	0	0	1	0
Rana_nigrovittata	0	0	0	1	0
Rana_okinavana	0	0	1	0	0
Rana_ornativentris	0	0	0	1	0
Rana_palmipes	0	0	0	1	0
Rana_palustris	0	0	0	1	0
Rana_perezi	0	0	0	1	0
Rana_pipiens	0	0	0	1	0
Rana_pirica	0	0	0	1	0
Rana_plancyi	0	0	0	1	0
Rana_pretiosa	0	0	0	1	0
Rana_pyrenaica	0	0	0	1	0
Rana_ridibunda	0	0	0	1	0
Rana_rugosa	0	0	0	1	0
Rana_saharica	0	0	0	1	0
Rana_sanguinea	0	0	0	1	0
Rana_signata	0	0	0	1	0
Rana_sphenocephala	0	0	0	1	0
Rana_supranarina	0	0	0	1	0
Rana_swinhoana	0	0	0	1	0
Rana_sylvatica	0	0	0	1	0
Rana_tagoi	0	0	0	1	0
Rana_tarahumarae	0	0	0	1	0
Rana_temporalis	0	0	0	1	0
Rana_temporaria	0	0	0	1	0
Rana_utsunomiyaorum	0	0	0	1	0
Rana_vaillanti	0	0	0	1	0
